22-10-2025 18:34:43 | TRACE | Task: 001_InicializarVariables | Desc: Se inicializan las rutas del robot.
22-10-2025 18:34:43 | TRACE | Task: 001_InicializarVariables | Desc: Se leen los datos parametrizados en el archivo: C:/Users/administrator.ENERGIZANDO/Documents/01_RecuperacionSoportes/Process/config/Config.xlsx y se inicializan las variables del proceso.
22-10-2025 18:34:43 | TRACE | Task: 001_InicializarVariables | Desc: Se obtiene las credencial CredencialesWorkManager.
22-10-2025 18:34:43 | TRACE | Task: 001_InicializarVariables | Desc: Se obtiene las credencial CredencialesSiesa.
22-10-2025 18:34:43 | TRACE | Task: 001_InicializarVariables | Desc: Se obtiene las credencial O365.
22-10-2025 18:34:44 | INFO | Task: 001_InicializarVariables | Desc: ResoluciÃ³n inicial: (2880, 1620)
22-10-2025 18:34:44 | INFO | Task: 001_InicializarVariables | Desc: Resoluciones permitidas: [(1920, 1080, 32)]
22-10-2025 18:34:44 | INFO | Task: 001_InicializarVariables | Desc: ResoluciÃ³n actual: (2880, 1620)
22-10-2025 18:34:44 | TRACE | Task: 001_InicializarVariables | Desc: Se deja lista la plantilla del reporte.
22-10-2025 18:35:01 | INFO | Task: 023_NavegacionContabilizacion | Desc: Inicia bot que buscara la opcion Contabilizacion en el aplicativo Siesa 8.5 e identificara cuanto debe desplazarse para ingresar en ella
22-10-2025 18:35:07 | INFO | Task: 023_NavegacionContabilizacion | Desc: Inicia bot que buscara la opcion Contabilizacion en el aplicativo Siesa 8.5 e identificara cuanto debe desplazarse para ingresar en ella
22-10-2025 18:35:11 | INFO | Task: 004_ObtenerInformacionDePantallaSiesa8.5 | Desc: Se va a extraer el texto de la pantalla de Siesa8.5.
22-10-2025 18:35:12 | TRACE | Task: 004_ObtenerInformacionDePantallaSiesa8.5 | Desc: Se abre menu contextual.
22-10-2025 18:35:13 | TRACE | Task: 004_ObtenerInformacionDePantallaSiesa8.5 | Desc: Copiar al portapapeles.
22-10-2025 18:37:31 | INFO | Task: 023_NavegacionContabilizacion | Desc: Se encontro la palabra clave 'opciones a consultar' indice de la tabla
22-10-2025 18:37:31 | INFO | Task: 023_NavegacionContabilizacion | Desc: se ha limpiado el texto correctamente
22-10-2025 18:38:16 | INFO | Task: 023_NavegacionContabilizacion | Desc: Se encontro la palabra clave 'opciones a consultar' indice de la tabla
22-10-2025 18:38:16 | INFO | Task: 023_NavegacionContabilizacion | Desc: se ha limpiado el texto correctamente
22-10-2025 18:41:51 | INFO | Task: 023_NavegacionContabilizacion | Desc: Se encontro la palabra clave 'opciones a consultar' indice de la tabla
22-10-2025 18:41:51 | INFO | Task: 023_NavegacionContabilizacion | Desc: se ha limpiado el texto correctamente
