19-10-2025 17:17:13 | TRACE | Task: 001_InicializarVariables | Desc: Se inicializan las rutas del robot.
19-10-2025 17:17:13 | TRACE | Task: 001_InicializarVariables | Desc: Se leen los datos parametrizados en el archivo: D:/Laburo/VORTEX/PROYECTOS/01_RecuperacionSoportes/Process/config/Config.xlsx y se inicializan las variables del proceso.
19-10-2025 17:17:13 | INFO | Task: 001_InicializarVariables | Desc: ResoluciÃ³n inicial: (1920, 1080)
19-10-2025 17:17:13 | TRACE | Task: 001_InicializarVariables | Desc: Se deja lista la plantilla del reporte.
19-10-2025 17:17:18 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: Se va a descargar el archivo base de la ruta //10.238.99.5/temporales/ROCKETBOT/Copia de Inusmo busqueda masiva - UT Ticenergi.xlsx
19-10-2025 17:17:38 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: Se va a descargar exitosamente el archivo base en D:/Laburo/VORTEX/PROYECTOS/01_RecuperacionSoportes/Input/Inusmo busqueda masiva - UT Ticenergi.xlsx
19-10-2025 17:17:38 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: Comienza el proceso de extraccion de informacion del archivo base.
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: Filtrado por documento_cruce: de 31,048 a 3,579 filas.
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: Archivo leido exitosamente: D:/Laburo/VORTEX/PROYECTOS/01_RecuperacionSoportes/Input/Inusmo busqueda masiva - UT Ticenergi.xlsx
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: Dimensiones del DataFrame: (3579, 7)
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: Columnas extraidas: ['empresa', 'tipo_docto', 'nro_docto', 'detalle', 'documento_cruce', 'fecha_procesamiento', 'estado_procesamiento']
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: RESUMEN DE DATOS:
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    Total de filas: 3,579
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    Total de columnas: 7
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: VALORES NULOS POR COLUMNA:
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    empresa: 0 (0.0%)
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    tipo_docto: 0 (0.0%)
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    nro_docto: 0 (0.0%)
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    detalle: 0 (0.0%)
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    documento_cruce: 0 (0.0%)
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    fecha_procesamiento: 0 (0.0%)
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    estado_procesamiento: 0 (0.0%)
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: ESTADISTICAS POR COLUMNA:
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    empresa: 1 valores unicos
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    tipo_docto: 10 valores unicos
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    nro_docto: 1,925 valores unicos
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    detalle: 1,504 valores unicos
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    documento_cruce: 468 valores unicos
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    fecha_procesamiento: 1 valores unicos
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc:    estado_procesamiento: 1 valores unicos
19-10-2025 17:17:48 | INFO | Task: 016_ObtenerInformacionArchivoBase | Desc: PRIMERAS 5 FILAS:
     empresa tipo_docto nro_docto                                   detalle documento_cruce fecha_procesamiento estado_procesamiento
0  Ticenergi         DS       265  ANAC CC110178 SERV PROF GESTOR PROMOCION          PE-163                                Pendiente
1  Ticenergi         DS       407  ANAC CC110178 SERV PROF GESTOR PROMOCION          PE-195                                Pendiente
2  Ticenergi         DS       266  ANAC CC110178 SERV PROF GESTOR PROMOCION          PE-163                                Pendiente
3  Ticenergi         DS       126  ANAC CC110178 SERV PROF GESTOR PROMOCION          PE-162                                Pendiente
4  Ticenergi         DS       333  ANAC CC110178 SERV PROF GESTOR PROMOCION          PE-203                                Pendiente
19-10-2025 17:17:48 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: ExtracciÃ³n exitosa.
19-10-2025 17:18:03 | TRACE | Task: 017_ObtenerInformacionAProcesar | Desc: Se van a obtener los datos a trabajar del archivo de seguimiento.
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Encabezados encontrados: ['Empresa', 'Tipo Docto', 'Nro Docto', 'Detalle', 'Documento Cruce', 'Estado Procesamiento', 'Fecha Procesamiento', 'Observaciones']
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Archivo leÃ­do exitosamente: 3579 filas de datos
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Archivo existente cargado: 3579 filas
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Columnas: ['Empresa', 'Tipo Docto', 'Nro Docto', 'Detalle', 'Documento Cruce', 'Estado Procesamiento', 'Fecha Procesamiento', 'Observaciones']
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Datos de entrada: 3579 filas
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Filas nuevas a agregar: 0
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: No hay filas nuevas por agregar.
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Archivo actualizado exitosamente: D:/Laburo/VORTEX/PROYECTOS/01_RecuperacionSoportes/Input/Archivo de Seguimiento.xlsx
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Total de filas en el archivo: 3579
19-10-2025 17:18:04 | TRACE | Task: 017_ObtenerInformacionAProcesar | Desc: Extraccion exitosa.
19-10-2025 17:18:04 | TRACE | Task: 017_ObtenerInformacionAProcesar | Desc: Filtro pendientes.
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Total de registros leídos de gblItemsAProcesar: 3579
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Tamanio de lote a tomar: 500
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Total de registros con 'Pendiente' en estado_procesamiento: 500
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Registros después de eliminar duplicados por clave (Tipo Docto, Nro Docto, Documento Cruce): 500
19-10-2025 17:18:04 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Variable 'gblItemsAProcesar' actualizada con registros pendientes y sin duplicados.
19-10-2025 17:19:45 | INFO | Task: 018_ProcesarRegistro | Desc: Comienza el procesamiento del registro: {'Empresa': 'Ticenergi', 'Tipo Docto': 'DS', 'Nro Docto': 265, 'Detalle': 'ANAC CC110178 SERV PROF GESTOR PROMOCION', 'Documento Cruce': 'PE-163', 'Estado Procesamiento': 'Pendiente', 'Fecha Procesamiento': None, 'Observaciones': None}
19-10-2025 17:19:45 | TRACE | Task: 018_ProcesarRegistro | Desc: Se procede a clasificar curso de accion a tomar.
19-10-2025 17:19:45 | TRACE | Task: 018_ProcesarRegistro | Desc: Flujo a trabajar: 1
19-10-2025 17:19:47 | TRACE | Task: 007_AbrirWorkManager | Desc: Se abre el navegador.
19-10-2025 17:19:47 | TRACE | Task: 007_AbrirWorkManager | Desc: Se va a maximizar la pagina.
19-10-2025 17:19:47 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Buscando ventana con título: Iniciar sesión - Workmanager
19-10-2025 17:19:47 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Ventana encontrada: ''
19-10-2025 17:19:47 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Ventana encontrada: ''
19-10-2025 17:19:47 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Ventana encontrada: ''
19-10-2025 17:19:47 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Ventana encontrada: ''
19-10-2025 17:19:47 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Ventana encontrada: ''
19-10-2025 17:19:47 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Ventana encontrada: ''
19-10-2025 17:19:47 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Ventana encontrada: 'Iniciar sesión - WorkManager E.D.® - Google Chrome'
19-10-2025 17:19:47 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Ventana con el título 'Iniciar sesión - Workmanager' encontrada: 'Iniciar sesión - WorkManager E.D.® - Google Chrome'
19-10-2025 17:19:47 | INFO | Task: 017_ObtenerInformacionAProcesar | Desc: Ventana 'Iniciar sesión - WorkManager E.D.® - Google Chrome' traída al frente y maximizada.
19-10-2025 17:19:47 | TRACE | Task: 007_AbrirWorkManager | Desc: El navegador se cargo correctamente.
19-10-2025 17:19:47 | TRACE | Task: 009_IniciarSesionWorkManager | Desc: Comienza el inicio de sesiÃ³n de WorkManager.
19-10-2025 17:22:11 | INFO | Task: 018_ProcesarRegistro | Desc: Comienza el procesamiento del registro: {'Empresa': 'Ticenergi', 'Tipo Docto': 'DS', 'Nro Docto': 265, 'Detalle': 'ANAC CC110178 SERV PROF GESTOR PROMOCION', 'Documento Cruce': 'PE-163', 'Estado Procesamiento': 'Pendiente', 'Fecha Procesamiento': None, 'Observaciones': None}
19-10-2025 17:22:11 | TRACE | Task: 018_ProcesarRegistro | Desc: Se procede a clasificar curso de accion a tomar.
19-10-2025 17:22:11 | TRACE | Task: 018_ProcesarRegistro | Desc: Flujo a trabajar: 1
19-10-2025 17:22:14 | TRACE | Task: 007_AbrirWorkManager | Desc: Se abre el navegador.
19-10-2025 17:22:14 | TRACE | Task: 007_AbrirWorkManager | Desc: Se va a maximizar la pagina.
19-10-2025 17:22:14 | INFO | Task: DeaultTask | Desc: Buscando ventana con título: Iniciar sesión - Workmanager
19-10-2025 17:22:14 | INFO | Task: DeaultTask | Desc: Ventana encontrada: ''
19-10-2025 17:22:14 | INFO | Task: DeaultTask | Desc: Ventana encontrada: ''
19-10-2025 17:22:14 | INFO | Task: DeaultTask | Desc: Ventana encontrada: ''
19-10-2025 17:22:14 | INFO | Task: DeaultTask | Desc: Ventana encontrada: ''
19-10-2025 17:22:14 | INFO | Task: DeaultTask | Desc: Ventana encontrada: ''
19-10-2025 17:22:14 | INFO | Task: DeaultTask | Desc: Ventana encontrada: ''
19-10-2025 17:22:14 | INFO | Task: DeaultTask | Desc: Ventana encontrada: 'Iniciar sesión - WorkManager E.D.® - Google Chrome'
19-10-2025 17:22:14 | INFO | Task: DeaultTask | Desc: Ventana con el título 'Iniciar sesión - Workmanager' encontrada: 'Iniciar sesión - WorkManager E.D.® - Google Chrome'
19-10-2025 17:22:14 | INFO | Task: DeaultTask | Desc: Ventana 'Iniciar sesión - WorkManager E.D.® - Google Chrome' traída al frente y maximizada.
19-10-2025 17:22:14 | TRACE | Task: 007_AbrirWorkManager | Desc: El navegador se cargo correctamente.
19-10-2025 17:22:14 | TRACE | Task: 009_IniciarSesionWorkManager | Desc: Comienza el inicio de sesiÃ³n de WorkManager.
19-10-2025 17:22:18 | TRACE | Task: 008_ChequearWorkManagerAbierto | Desc: Se va a chequear que la sesiÃ³n este iniciada.
19-10-2025 17:22:34 | WARNING | Task: 008_ChequearWorkManagerAbierto | Desc: No esta iniciada la sesion.
19-10-2025 17:22:35 | INFO | Task: 013_NavegarABuscarDocumentos | Desc: Se navego correctamente a Administrar procesos
19-10-2025 17:22:35 | INFO | Task: 014_BuscarDocumento | Desc: itemActual obtenido: {'Empresa': 'Ticenergi', 'Tipo Docto': 'DS', 'Nro Docto': 265, 'Detalle': 'ANAC CC110178 SERV PROF GESTOR PROMOCION', 'Documento Cruce': 'PE-163', 'Estado Procesamiento': 'Pendiente', 'Fecha Procesamiento': None, 'Observaciones': None}
