16-10-2025 12:24:49 | INFO | Task: DeaultTask | Desc: TÌtulos de ventanas encontradas: ['', 'Sistema Uno', 'Rocketbot Debugger', '', '', 'logs', 'rocketbot.exe - Shortcut', '003_AbrirSiesa8.5 -RocketBot Studio - Google Chrome', 'Program Manager']
16-10-2025 12:24:49 | INFO | Task: DeaultTask | Desc: Ventana encontrada con coincidencia: 'Sistema Uno'. Intentando enfocar.
16-10-2025 12:24:50 | INFO | Task: DeaultTask | Desc: Ventana enfocada: Sistema Uno
16-10-2025 12:24:53 | INFO | Task: DeaultTask | Desc: Buscando ventanas abiertas para encontrar coincidencia con el nombre: 'Sistema Uno'
16-10-2025 12:24:53 | INFO | Task: DeaultTask | Desc: TÌtulos de ventanas encontradas: ['', 'Sistema Uno', 'Rocketbot Debugger', '', '', 'logs', 'rocketbot.exe - Shortcut', '003_AbrirSiesa8.5 -RocketBot Studio - Google Chrome', 'Program Manager']
16-10-2025 12:24:53 | INFO | Task: DeaultTask | Desc: Ventana encontrada con coincidencia: 'Sistema Uno'. Intentando maximizar y enfocar.
16-10-2025 12:24:53 | INFO | Task: DeaultTask | Desc: Ventana maximizada: Sistema Uno
16-10-2025 12:27:30 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Se va a iniciar el aplicativo de Siesa 8.5.
16-10-2025 12:27:31 | ERROR | Task: 003_AbrirSiesa8.5 | Desc: Ocurrio un error al iniciar el aplicativo de SIesa 8.5. | Error: name 'log_path' is not defined
16-10-2025 12:37:03 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Se va a iniciar el aplicativo de Siesa 8.5.
16-10-2025 12:40:46 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Se va a iniciar el aplicativo de Siesa 8.5.
16-10-2025 12:40:46 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Esperando 1 segundo antes de ejecutar pyautogui.hotkey('win', 'd').
16-10-2025 12:40:47 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Enviando hotkey 'win' + 'd' para mostrar el escritorio.
16-10-2025 12:42:11 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Se va a iniciar el aplicativo de Siesa 8.5.
16-10-2025 12:42:11 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Esperando 1 segundo antes de ejecutar pyautogui.hotkey('win', 'd').
16-10-2025 12:42:12 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Enviando hotkey 'win' + 'd' para mostrar el escritorio.
16-10-2025 12:42:28 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Se va a iniciar el aplicativo de Siesa 8.5.
16-10-2025 12:42:28 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Esperando 1 segundo antes de ejecutar pyautogui.hotkey('win', 'd').
